time,arm,observable,value,dose_phage_pfu
8.0,1e+09 PFU,cfu,75952.2650181797,1000000000.0
10.0,1e+09 PFU,cfu,419145.07906740566,1000000000.0
12.0,1e+09 PFU,cfu,3701533.3436099584,1000000000.0
14.0,1e+09 PFU,cfu,17384712.336073294,1000000000.0
16.0,1e+09 PFU,cfu,83984325.62104209,1000000000.0
18.0,1e+09 PFU,cfu,87421583.39227913,1000000000.0
20.0,1e+09 PFU,cfu,93068264.64674877,1000000000.0
22.0,1e+09 PFU,cfu,102030211.7939671,1000000000.0
24.0,1e+09 PFU,cfu,77771668.86230698,1000000000.0
0.0,1e+09 PFU,od,0.025348584395855894,1000000000.0
2.0,1e+09 PFU,od,0.005400329946658407,1000000000.0
4.0,1e+09 PFU,od,0.005044361819597102,1000000000.0
6.0,1e+09 PFU,od,0.004722595526924927,1000000000.0
8.0,1e+09 PFU,od,0.005627995865334558,1000000000.0
10.0,1e+09 PFU,od,0.007336868112731687,1000000000.0
12.0,1e+09 PFU,od,0.0195930452543326,1000000000.0
14.0,1e+09 PFU,od,0.09544043159981984,1000000000.0
16.0,1e+09 PFU,od,0.45472101641532026,1000000000.0
18.0,1e+09 PFU,od,0.5146017138470452,1000000000.0
20.0,1e+09 PFU,od,0.5178288617098631,1000000000.0
22.0,1e+09 PFU,od,0.48154499018594965,1000000000.0
24.0,1e+09 PFU,od,0.5562256732358519,1000000000.0
0.0,1e+09 PFU,pfu,1184129058.0990515,1000000000.0
2.0,1e+09 PFU,pfu,1545541362.7011228,1000000000.0
4.0,1e+09 PFU,pfu,1280973992.9701154,1000000000.0
6.0,1e+09 PFU,pfu,1503345760.368099,1000000000.0
8.0,1e+09 PFU,pfu,1359572090.8822825,1000000000.0
10.0,1e+09 PFU,pfu,1421613766.1159132,1000000000.0
12.0,1e+09 PFU,pfu,1234670459.3956814,1000000000.0
14.0,1e+09 PFU,pfu,967866499.967314,1000000000.0
16.0,1e+09 PFU,pfu,1534740104.5204847,1000000000.0
18.0,1e+09 PFU,pfu,889057240.3237612,1000000000.0
20.0,1e+09 PFU,pfu,1214874902.7096772,1000000000.0
22.0,1e+09 PFU,pfu,1222826086.6213477,1000000000.0
24.0,1e+09 PFU,pfu,1047846537.8029871,1000000000.0
